,Timestamp,Close,VWAP,ST,ST_d,long,short,diff_long,diff_short
0,2022-11-26 09:30:00-05:00,1011.687,1011.316,,-1,0,1,0,0
1,2022-11-27 09:30:00-05:00,1026.176,1019.38,,-1,0,1,0,0
2,2022-11-28 09:30:00-05:00,1051.879,1036.368,,-1,0,1,0,0
3,2022-11-29 09:30:00-05:00,1101.256,1084.739,,-1,0,1,0,0
4,2022-11-30 09:30:00-05:00,1107.768,1117.343,,-1,0,1,0,0
5,2022-12-01 09:30:00-05:00,1087.87,1103.933,,-1,0,1,0,0
6,2022-12-02 09:30:00-05:00,1081.458,1076.401,,-1,0,1,0,0
7,2022-12-03 09:30:00-05:00,1081.835,1087.803,,-1,0,1,0,0
8,2022-12-04 09:30:00-05:00,1122.307,1111.212,1103.019,-1,0,1,0,0
9,2022-12-05 09:30:00-05:00,1147.485,1142.308,1134.209,-1,0,1,0,0
10,2022-12-06 09:30:00-05:00,1130.176,1138.368,1134.209,-1,0,1,0,0
11,2022-12-07 09:30:00-05:00,1141.036,1130.59,1137.891,1,1,0,1,-1
12,2022-12-08 09:30:00-05:00,1174.606,1171.517,1163.751,-1,0,1,-1,1
13,2022-12-09 09:30:00-05:00,1185.018,1178.177,1171.032,-1,0,1,0,0
14,2022-12-10 09:30:00-05:00,1179.103,1184.103,1177.593,-1,0,1,0,0
15,2022-12-11 09:30:00-05:00,1174.741,1181.942,1177.593,-1,0,1,0,0
16,2022-12-12 09:30:00-05:00,1193.557,1163.11,1170.122,1,1,0,1,-1
17,2022-12-13 09:30:00-05:00,1145.491,1157.28,1164.582,1,1,0,0,0
18,2022-12-14 09:30:00-05:00,1166.683,1150.815,1158.093,1,1,0,0,0
19,2022-12-15 09:30:00-05:00,1164.39,1170.847,1163.408,-1,0,1,-1,1
20,2022-12-16 09:30:00-05:00,1199.212,1195.568,1187.72,-1,0,1,0,0
21,2022-12-17 09:30:00-05:00,1180.761,1191.878,1187.72,-1,0,1,0,0
22,2022-12-18 09:30:00-05:00,1169.98,1175.45,1182.72,1,1,0,1,-1
23,2022-12-19 09:30:00-05:00,1190.457,1182.981,1175.914,-1,0,1,-1,1
24,2022-12-20 09:30:00-05:00,1178.393,1189.135,1182.355,-1,0,1,0,0
25,2022-12-21 09:30:00-05:00,1161.798,1168.103,1174.715,1,1,0,1,-1
26,2022-12-22 09:30:00-05:00,1152.322,1161.579,1168.214,1,1,0,0,0
27,2022-12-23 09:30:00-05:00,1147.646,1147.963,1154.168,1,1,0,0,0
28,2022-12-24 09:30:00-05:00,1145.256,1144.794,1150.424,1,1,0,0,0
29,2022-12-25 09:30:00-05:00,1124.71,1130.649,1136.22,1,1,0,0,0
30,2022-12-26 09:30:00-05:00,1125.6,1124.081,1129.196,1,1,0,0,0
31,2022-12-27 09:30:00-05:00,1147.489,1139.213,1134.079,-1,0,1,-1,1
32,2022-12-28 09:30:00-05:00,1119.0,1120.11,1125.214,1,1,0,1,-1
33,2022-12-29 09:30:00-05:00,1118.093,1115.795,1120.567,1,1,0,0,0
34,2022-12-30 09:30:00-05:00,1110.857,1110.261,1114.898,1,1,0,0,0
35,2022-12-31 09:30:00-05:00,1102.09,1103.598,1107.911,1,1,0,0,0
36,2023-01-01 09:30:00-05:00,1110.248,1104.735,1107.911,1,1,0,0,0
37,2023-01-02 09:30:00-05:00,1107.266,1110.37,1106.487,-1,0,1,-1,1
38,2023-01-03 09:30:00-05:00,1144.7,1128.503,1124.154,-1,0,1,0,0
39,2023-01-04 09:30:00-05:00,1134.439,1143.159,1138.699,-1,0,1,0,0
40,2023-01-05 09:30:00-05:00,1123.27,1127.631,1132.031,1,1,0,1,-1
41,2023-01-06 09:30:00-05:00,1135.717,1136.56,1132.152,-1,0,1,-1,1
42,2023-01-07 09:30:00-05:00,1132.451,1133.554,1132.152,-1,0,1,0,0
43,2023-01-08 09:30:00-05:00,1143.059,1129.988,1134.322,1,1,0,1,-1
44,2023-01-09 09:30:00-05:00,1135.341,1145.089,1140.543,-1,0,1,-1,1
45,2023-01-10 09:30:00-05:00,1135.777,1138.418,1142.661,1,1,0,1,-1
46,2023-01-11 09:30:00-05:00,1156.558,1147.541,1142.217,-1,0,1,-1,1
47,2023-01-12 09:30:00-05:00,1093.333,1103.349,1109.437,1,1,0,1,-1
48,2023-01-13 09:30:00-05:00,1176.152,1160.209,1151.899,-1,0,1,-1,1
49,2023-01-14 09:30:00-05:00,1139.891,1155.94,1151.899,-1,0,1,0,0
50,2023-01-15 09:30:00-05:00,1129.527,1143.136,1151.427,1,1,0,1,-1
51,2023-01-16 09:30:00-05:00,1089.295,1115.106,1123.707,1,1,0,0,0
52,2023-01-17 09:30:00-05:00,1064.472,1070.306,1079.411,1,1,0,0,0
53,2023-01-18 09:30:00-05:00,1053.078,1051.308,1060.154,1,1,0,0,0
54,2023-01-19 09:30:00-05:00,1063.811,1058.426,1060.154,1,1,0,0,0
55,2023-01-20 09:30:00-05:00,1116.29,1114.965,1105.804,-1,0,1,-1,1
56,2023-01-21 09:30:00-05:00,1124.866,1125.345,1116.512,-1,0,1,0,0
57,2023-01-22 09:30:00-05:00,1093.303,1106.913,1115.602,1,1,0,1,-1
58,2023-01-23 09:30:00-05:00,1083.611,1089.042,1097.523,1,1,0,0,0
59,2023-01-24 09:30:00-05:00,1110.143,1114.301,1105.212,-1,0,1,-1,1
60,2023-01-25 09:30:00-05:00,1123.661,1112.139,1105.212,-1,0,1,0,0
61,2023-01-26 09:30:00-05:00,1120.563,1108.466,1105.212,-1,0,1,0,0
62,2023-01-27 09:30:00-05:00,1127.31,1118.017,1109.557,-1,0,1,0,0
63,2023-01-28 09:30:00-05:00,1137.004,1129.855,1121.834,-1,0,1,0,0
64,2023-01-29 09:30:00-05:00,1183.858,1161.128,1152.622,-1,0,1,0,0
65,2023-01-30 09:30:00-05:00,1198.306,1192.625,1183.849,-1,0,1,0,0
66,2023-01-31 09:30:00-05:00,1189.253,1195.415,1187.11,-1,0,1,0,0
67,2023-02-01 09:30:00-05:00,1264.154,1235.725,1226.186,-1,0,1,0,0
68,2023-02-02 09:30:00-05:00,1237.449,1229.275,1226.186,-1,0,1,0,0
69,2023-02-03 09:30:00-05:00,1227.443,1214.836,1223.923,1,1,0,1,-1
70,2023-02-04 09:30:00-05:00,1229.646,1224.345,1215.926,-1,0,1,-1,1
71,2023-02-05 09:30:00-05:00,1207.143,1231.631,1222.938,-1,0,1,0,0
72,2023-02-06 09:30:00-05:00,1180.498,1195.438,1204.454,1,1,0,1,-1
73,2023-02-07 09:30:00-05:00,1146.489,1150.275,1160.065,1,1,0,0,0
74,2023-02-08 09:30:00-05:00,1149.609,1154.824,1160.065,1,1,0,0,0
75,2023-02-09 10:00:00-05:00,1197.539,1185.235,1175.335,-1,0,1,-1,1
76,2023-02-10 10:00:00-05:00,1211.884,1216.02,1206.297,-1,0,1,0,0
77,2023-02-11 10:00:00-05:00,1192.344,1206.875,1206.297,-1,0,1,0,0
78,2023-02-12 10:00:00-05:00,1165.076,1177.167,1186.588,1,1,0,1,-1
79,2023-02-13 10:00:00-05:00,1186.132,1156.0,1165.341,1,1,0,0,0
80,2023-02-14 10:00:00-05:00,1198.955,1185.865,1176.344,-1,0,1,-1,1
81,2023-02-15 10:00:00-05:00,1269.838,1268.239,1257.198,-1,0,1,0,0
82,2023-02-16 10:00:00-05:00,1215.578,1217.98,1229.391,1,1,0,1,-1
83,2023-02-17 10:00:00-05:00,1206.392,1210.489,1221.304,1,1,0,0,0
84,2023-02-18 10:00:00-05:00,1176.666,1185.218,1195.728,1,1,0,0,0
85,2023-02-19 10:00:00-05:00,1188.302,1177.787,1187.559,1,1,0,0,0
86,2023-02-20 10:00:00-05:00,1192.747,1182.768,1187.559,1,1,0,0,0
87,2023-02-21 10:00:00-05:00,1227.116,1210.182,1201.017,-1,0,1,-1,1
