,Timestamp,Close,VWAP,ST,ST_d,long,short,diff_long,diff_short
0,2022-11-26 09:30:00-05:00,1005.914,1008.008,,-1,0,1,0,0
1,2022-11-27 09:30:00-05:00,1043.256,1027.977,,-1,0,1,0,0
2,2022-11-28 09:30:00-05:00,1036.706,1040.766,,-1,0,1,0,0
3,2022-11-29 09:30:00-05:00,1085.37,1069.091,,-1,0,1,0,0
4,2022-11-30 09:30:00-05:00,1091.788,1101.225,,-1,0,1,0,0
5,2022-12-01 09:30:00-05:00,1095.519,1095.398,,-1,0,1,0,0
6,2022-12-02 09:30:00-05:00,1089.658,1099.498,,-1,0,1,0,0
7,2022-12-03 09:30:00-05:00,1105.652,1098.388,,-1,0,1,0,0
8,2022-12-04 09:30:00-05:00,1097.756,1101.805,1095.072,-1,0,1,0,0
9,2022-12-05 09:30:00-05:00,1090.023,1085.84,1092.19,1,1,0,1,-1
10,2022-12-06 09:30:00-05:00,1107.278,1095.408,1088.736,-1,0,1,-1,1
11,2022-12-07 09:30:00-05:00,1099.818,1109.992,1103.752,-1,0,1,0,0
12,2022-12-08 09:30:00-05:00,1112.468,1118.408,1112.085,-1,0,1,0,0
13,2022-12-09 09:30:00-05:00,1106.527,1112.115,1112.085,-1,0,1,0,0
14,2022-12-10 09:30:00-05:00,1096.545,1098.301,1103.767,1,1,0,1,-1
15,2022-12-11 09:30:00-05:00,1106.699,1103.226,1103.767,1,1,0,0,0
16,2022-12-12 09:30:00-05:00,1138.327,1091.515,1097.91,1,1,0,0,0
17,2022-12-13 09:30:00-05:00,1131.616,1123.892,1117.223,-1,0,1,-1,1
18,2022-12-14 09:30:00-05:00,1138.388,1125.812,1119.077,-1,0,1,0,0
19,2022-12-15 09:30:00-05:00,1195.912,1157.469,1149.54,-1,0,1,0,0
20,2022-12-16 09:30:00-05:00,1231.677,1227.935,1218.568,-1,0,1,0,0
21,2022-12-17 09:30:00-05:00,1205.911,1222.972,1218.568,-1,0,1,0,0
22,2022-12-18 09:30:00-05:00,1185.946,1191.117,1199.997,1,1,0,1,-1
23,2022-12-19 09:30:00-05:00,1172.949,1174.218,1182.883,1,1,0,0,0
24,2022-12-20 09:30:00-05:00,1178.738,1176.774,1182.883,1,1,0,0,0
25,2022-12-21 09:30:00-05:00,1173.683,1176.365,1182.883,1,1,0,0,0
26,2022-12-22 09:30:00-05:00,1130.861,1139.945,1147.344,1,1,0,0,0
27,2022-12-23 09:30:00-05:00,1133.154,1132.842,1139.554,1,1,0,0,0
28,2022-12-24 09:30:00-05:00,1132.358,1134.197,1139.554,1,1,0,0,0
29,2022-12-25 09:30:00-05:00,1125.801,1126.366,1132.026,1,1,0,0,0
30,2022-12-26 09:30:00-05:00,1106.038,1116.19,1121.734,1,1,0,0,0
31,2022-12-27 09:30:00-05:00,1113.714,1105.682,1111.09,1,1,0,0,0
32,2022-12-28 09:30:00-05:00,1106.975,1113.826,1108.623,-1,0,1,-1,1
33,2022-12-29 09:30:00-05:00,1116.203,1112.422,1108.623,-1,0,1,0,0
34,2022-12-30 09:30:00-05:00,1102.519,1111.776,1108.623,-1,0,1,0,0
35,2022-12-31 09:30:00-05:00,1088.393,1092.517,1097.248,1,1,0,1,-1
36,2023-01-01 09:30:00-05:00,1096.079,1087.367,1092.03,1,1,0,0,0
37,2023-01-02 09:30:00-05:00,1098.16,1096.796,1092.407,-1,0,1,-1,1
38,2023-01-03 09:30:00-05:00,1099.913,1092.901,1092.407,-1,0,1,0,0
39,2023-01-04 09:30:00-05:00,1097.664,1100.819,1096.451,-1,0,1,0,0
40,2023-01-05 09:30:00-05:00,1085.742,1097.072,1096.451,-1,0,1,0,0
41,2023-01-06 09:30:00-05:00,1076.228,1077.994,1082.318,1,1,0,1,-1
42,2023-01-07 09:30:00-05:00,1076.21,1075.487,1079.39,1,1,0,0,0
43,2023-01-08 09:30:00-05:00,1126.323,1102.412,1097.712,-1,0,1,-1,1
44,2023-01-09 09:30:00-05:00,1133.58,1130.59,1125.459,-1,0,1,0,0
45,2023-01-10 09:30:00-05:00,1134.016,1136.653,1131.859,-1,0,1,0,0
46,2023-01-11 09:30:00-05:00,1184.809,1171.835,1165.677,-1,0,1,0,0
47,2023-01-12 09:30:00-05:00,1199.071,1201.117,1194.504,-1,0,1,0,0
48,2023-01-13 09:30:00-05:00,1288.223,1272.065,1263.007,-1,0,1,0,0
49,2023-01-14 09:30:00-05:00,1288.895,1290.111,1281.541,-1,0,1,0,0
